"yearOfStart","CurrentState","sizeOfsite"
2012,"In",20.2
2009,"Out",29
2012,"In",246.57
2012,"In",167.27
2007,"In",194.48
2014,"In",323.76
2008,"In",72.7
2007,"In",94.5
2009,"Out",192.36
2010,"In",95.6
2008,"In",333
2008,"In",186.73
2006,"In",129.39
2006,"Out",243.82
2014,"In",174.02
2014,"In",172
2009,"In",94
2014,"In",30.63
2012,"In",362.37
2006,"In",559.12
2013,"In",278.82
2010,"In",81.95
2011,"In",382.22
2014,"In",273.72
2010,"In",271.24
2010,"In",47.6
2008,"In",154.15
2011,"In",155.95
2011,"In",166.4
2012,"In",158.87
2010,"In",152.06
2008,"Out",96.9
2013,"In",412.42
2012,"In",336.74
2013,"In",298.17
2007,"Out",210.33
2007,"Out",326.72
2007,"In",430
2014,"In",129.9
2009,"In",66.1
2008,"Out",211.39
2007,"In",72.3
2009,"In",192
2008,"In",226
2011,"In",345.85
NA,NA,NA
2007,"In",267.26
2007,"Out",71.94
2008,"Out",164.22
2008,"In",139.29
2011,"In",165.08
2009,"In",221.51
2011,"In",146.3
2006,"In",81.9
2006,"In",146.98
2012,"In",160
2011,"In",476.21
2013,"In",106
2013,"In",297
2010,"In",198
2013,"In",232.02
2007,"Out",190.61
2012,"In",222.72
2007,"In",343.8
2008,"In",207.7
2010,"In",51.98
2009,"Out",85.68
2007,"In",27.25
2013,"In",283.06
2008,"In",37.5
2009,"In",125.36
2013,"In",142.97
2008,"In",128.6
2009,"In",332.42
2009,"In",95.21
2012,"In",317.48
2005,"In",291.38
2009,"In",290.64
2011,"In",44.68
2014,"In",257
2014,"In",288.53
2006,"In",376.03
2014,"In",199.67
2013,"In",190.09
2013,"In",88.96
2007,"In",337.36
2010,"Out",102.06
2007,"In",206.97
2008,"In",147.91
2006,"In",159
2009,"Out",165.29
2002,"In",224.4
2008,"Out",61.5
2012,"In",381.9
2012,"In",82.33
2013,"In",170.63
2008,"In",0
2008,"Out",40
2014,"In",282.84
2008,"In",212.77
2011,"In",231.71
2003,"In",107.35
2014,"In",158.67
2008,"In",307.08
2007,"Out",0
2007,"Out",345.95
2007,"Out",120.78
2011,"In",64.62
2014,"In",311.2
2007,"Out",329.25
2013,"In",155.88
2009,"Out",134.72
2009,"In",89.46
2009,"Out",84
2009,"Out",39.3
2009,"Out",43.51
2011,"In",118.8
2009,"Out",116.33
2013,"In",439.68
2011,"In",398.31
2007,"Out",323.29
2012,"In",398.39
2007,"In",363.55
2007,"In",361.27
2006,"Out",26.4
2007,"In",92.5
2010,"In",376.18
2010,"In",244.33
2012,"In",240.93
2009,"Out",345.84
2009,"In",161.89
2007,"In",197.8
2009,"In",199.34
2009,"Out",42.36
2005,"Out",89.1
2009,"In",199
2009,"In",272.73
2014,"In",257.19
2008,"In",136.67
2012,"In",290.87
2008,"In",325.25
2011,"In",456.92
2009,"In",169.1
2007,"Out",91.16
2006,"In",66.11
2011,"Out",33
2007,"In",555.84
2008,"In",117.02
2008,"Out",81
2008,"In",220.73
2013,"In",116.28
2007,"Out",265.7
2008,"In",115.22
2009,"In",226.05
2008,"Out",16.64
2003,"In",146.8
2007,"In",97.4
2009,"In",201.8
2012,"In",204.57
2008,"Out",539.6
2011,"Out",214.87
2012,"In",194.18
2013,"In",49
2013,"Out",30.63
2013,"Out",201.71
2012,"In",188.04
2008,"In",422.25
2012,"In",552.15
2012,"Out",63.5
2010,"In",18.18
2010,"In",68.32
2013,"In",24.64
2013,"In",25.33
2014,"In",186.22
2012,"In",50
2012,"Out",30
2014,"In",49.6
2009,"In",8.19
2009,"In",10.95
2009,"In",13.3
2009,"In",14.88
2009,"Out",27.72
2012,"In",14
2006,"Out",15.21
2012,"In",11
2012,"In",13
2014,"In",128.52
2005,"In",25.52
2004,"In",21
2014,"In",14.2
2004,"In",48.12
2004,"In",48.12
2013,"In",330.17
2006,"Out",10
2014,"In",96
2014,"In",125.4
2010,"In",43.2
2012,"In",52.81
2009,"Out",5
2014,"In",32.93
2014,"In",10
2014,"In",101.83
2013,"In",135
2014,"In",63.57
2013,"In",97.08
2012,"In",89.07
2014,"In",18.2
2010,"In",24.75
2014,"In",243
2013,"In",18.15
2010,"In",240.35
2014,"In",15.76
2012,"Out",65.72
2013,"In",8.74
2013,"Out",35.4
1995,"In",232.6
2013,"In",78.06
2010,"In",77.5
2008,"Out",78.4
2004,"Out",29.96
2011,"Out",16.92
2012,"In",24
2009,"In",19.63
2008,"Out",321.08
2013,"In",19
2008,"Out",15.76
2005,"In",271.26
2006,"In",125.4
2014,"In",64.89
2006,"In",185.09
2007,"In",127.43
2003,"Out",231.9
2007,"In",158.68
2005,"In",321.95
2005,"Out",149.15
2007,"Out",118
2007,"Out",92
2004,"Out",188.17
2013,"Out",195.5
2007,"Out",142.92
2008,"In",98.88
2003,"Out",69.5
2007,"In",150.28
2006,"Out",7.2
2011,"Out",42.11
2004,"In",55.44
2005,"Out",160.9
2011,"In",292.66
2012,"In",82.5
2010,"In",18.95
2008,"Out",88.74
2002,"Out",69.61
2014,"In",61.52
2014,"In",32.4
2008,"Out",33
2005,"Out",8.7
2006,"Out",8.14
2006,"In",50.04
2009,"Out",135.1
2010,"Out",194.13
2013,"In",15.96
2011,"In",9.9
2013,"In",62.25
2013,"In",105.98
2013,"In",37.74
2013,"In",49.94
2013,"In",48.6
2010,"In",120.5
2010,"In",87.72
2012,"In",200.13
2014,"In",12.7
2014,"In",52.3
2012,"In",50.7
2013,"Out",40.56
2009,"Out",40
2011,"Out",131.54
2014,"In",222
2014,"In",174.19
2005,"Out",217.01
2011,"In",204.13
2010,"In",277.42
2004,"Out",95.7
2010,"In",71.94
2014,"In",222.75
2008,"Out",198.35
2004,"Out",80
2008,"Out",253.88
2003,"Out",0
2004,"Out",18.85
2014,"In",211.48
2003,"Out",86.5
2001,"Out",0
2011,"In",51.62
2011,"Out",11.29
2014,"In",170
2010,"In",196.28
2012,"In",27
2006,"In",27.06
2006,"In",60.39
2013,"In",15
2011,"Out",245.74
1975,"Out",61.42
2014,"In",72.76
2011,"In",95.56
1999,"In",174.84
2010,"In",7.5
2011,"In",22.4
2004,"In",61.71
2004,"In",62.67
2004,"In",57.23
2007,"In",59.4
2010,"Out",7
2002,"In",35.26
2013,"Out",8.14
2009,"In",145.34
2014,"In",83.83
2013,"Out",101.79
2014,"In",78.77
2008,"In",6.25
2012,"In",8.2
2009,"Out",7
2011,"In",7.71
2009,"In",8.89
2012,"In",15
2012,"In",9.24
2014,"Out",9.65
2007,"Out",0
2014,"In",41.32
2010,"Out",129.23
2014,"In",46.2
2013,"In",30
2014,"In",16.53
2013,"In",96
2014,"In",20
2010,"Out",71.61
2014,"In",79.2
2014,"In",67.33
2014,"In",26.67
2013,"In",134.22
2013,"In",118
2014,"In",0
2014,"In",64.42
2014,"In",22.42
2010,"Out",151.41
2014,"In",17.05
2011,"In",43.8
2009,"Out",49.5
2013,"In",22.11
2014,"In",6
2010,"Out",0
2011,"Out",26.66
2014,"In",26.66
2009,"Out",44.2
2014,"In",15.3
2012,"In",17
2014,"In",45.18
2009,"Out",42.44
2012,"Out",29.53
2011,"In",32.4
2013,"In",78.48
2014,"In",743.46
2013,"In",20.43
2010,"In",50
2011,"In",47.85
2010,"In",45.99
2011,"In",41.25
2013,"In",72.76
2012,"Out",27.27
2012,"In",30
2011,"In",6.6
2014,"In",175.01
2011,"Out",37.62
2011,"In",11.88
2011,"In",28.84
2013,"In",43.7
2009,"Out",59.75
2013,"In",64.95
2010,"Out",24.78
2012,"Out",11.02
2011,"Out",92.41
2011,"Out",37.3
2014,"In",25.79
2012,"In",171.6
2014,"In",121.76
2010,"In",48.46
2011,"In",105.3
2014,"In",172.92
2012,"In",51.7
2014,"In",26.44
2012,"In",9.91
2010,"Out",24.46
2011,"In",36.12
2007,"Out",98.7
2014,"In",16.78
2014,"In",59.11
2014,"Out",31.91
2008,"Out",5.8
2009,"In",0
2011,"Out",62.82
2004,"Out",0
2012,"In",65.8
2013,"Out",114
2012,"In",28.47
1993,"Out",137.21
1993,"Out",0
2014,"In",26.4
2013,"Out",0
2007,"Out",90.45
2010,"Out",23.76
2010,"In",50.68
2014,"In",47.16
2012,"In",96.57
2010,"In",1.87
2012,"In",31
2012,"In",46.76
2011,"In",63.08
2013,"In",27.22
2011,"In",72.71
2014,"In",49
2014,"In",61.3
2011,"In",98.71
2012,"In",18.47
2014,"In",52.8
2002,"Out",35.51
2014,"In",66.56
2011,"In",13.2
2013,"In",216.1
2013,"In",48.59
2013,"In",24.55
2011,"Out",37.47
2011,"In",50.94
2003,"Out",56.2
2013,"In",31.48
2010,"Out",179.04
2011,"In",73
2014,"In",95.3
2012,"In",37.63
2010,"Out",28
2013,"In",26
2013,"In",36.66
2012,"Out",45.11
2014,"In",19.25
2014,"In",67.26
2014,"In",119.39
2010,"Out",45.2
2013,"Out",23.75
2007,"Out",4.4
2014,"In",10
2004,"In",7.85
2013,"In",189.36
2014,"In",38
2012,"Out",29.7
2013,"In",77.88
2011,"In",100.64
2012,"In",89.91
2012,"In",73.06
2012,"Out",49.56
2013,"In",29.5
2014,"In",33
2012,"Out",26.64
2011,"In",88.95
2014,"In",122.7
2014,"In",84.8
2014,"Out",101.32
2010,"In",10.79
2014,"In",28.16
2013,"In",16.24
2014,"In",19.87
2012,"In",65.12
2014,"In",10
2012,"In",20.32
2011,"In",99
2010,"In",6.5
2014,"In",26.6
2010,"Out",59.77
2013,"In",56.4
2014,"In",30
2014,"In",30
2010,"In",124.5
2009,"Out",131.56
2012,"In",29.28
2014,"In",62.37
2014,"In",55.77
2012,"In",86.49
2011,"Out",97.84
2012,"Out",53.2
2011,"In",33
2013,"In",72
2013,"In",61.44
2014,"In",0
2014,"In",43
2014,"In",37.1
2010,"In",46.41
2014,"In",82.22
2010,"Out",9.75
2009,"Out",208.27
2009,"Out",194.52
2007,"In",58.95
2014,"In",33
2011,"In",53.2
2013,"In",60.37
2014,"Out",59.49
2010,"Out",75.15
2014,"In",125.24
2010,"In",126.01
2014,"In",110
2014,"In",33
2014,"In",85.72
2010,"In",84.63
2012,"In",33.99
2014,"In",34.2
2012,"In",29.82
2014,"In",93.24
2011,"In",34.32
2010,"In",44.84
2011,"In",16.52
2014,"In",193.28
2013,"In",6.6
2014,"In",55
2011,"Out",61.26
2009,"Out",50.27
2011,"In",33
2014,"In",30.3
2013,"In",131.47
2012,"In",13.2
2012,"In",99.43
2011,"In",70
2010,"In",43.93
2011,"In",24.63
2013,"In",21.58
2007,"In",53.88
2013,"In",39.75
2012,"Out",81.36
2013,"Out",267.56
2014,"In",59.58
2012,"In",33
2009,"In",58.3
2008,"Out",103.98
2008,"In",99
2013,"In",56.6
2006,"Out",0
2010,"In",52.37
2009,"Out",23.02
2010,"Out",3.3
2005,"Out",159.36
2009,"In",40
2012,"In",62.82
2011,"Out",9.7
2012,"In",55.64
2011,"Out",41.29
2010,"Out",36.3
2008,"Out",39.84
2009,"Out",100.8
2014,"Out",41.45
2010,"Out",143.75
2012,"In",41.78
2010,"Out",9.9
2014,"In",132
2014,"In",46.08
2014,"In",75.44
2014,"In",120.15
2012,"Out",27.22
2009,"Out",24.83
2011,"Out",188.7
2012,"In",50.37
2013,"In",56.43
2012,"In",74.9
2006,"In",23.68
2003,"Out",32.17
2010,"Out",0
2013,"Out",19.02
2012,"In",49.6
2014,"In",15.6
2012,"Out",74.88
2014,"In",38.6
2013,"In",71.2
2012,"In",31.27
2012,"Out",28.2
2012,"In",40
2014,"In",91.55
2013,"In",48.38
2012,"Out",40.71
2012,"In",34.78
2014,"In",34.8
2013,"In",53.04
2013,"In",23.74
2013,"In",23.25
2014,"In",52.17
2013,"In",62.5
2014,"In",44.55
2013,"Out",50.79
2012,"Out",145
2013,"In",34.6
2013,"In",48
2014,"In",92.85
2013,"In",79.2
2013,"In",24.1
2012,"In",196.92
2014,"In",117.11
2009,"Out",51.09
2012,"In",29.64
2010,"Out",9.24
2011,"In",17.59
2012,"In",398.88
2009,"Out",38.63
2014,"In",40
2009,"In",148.56
2011,"In",59.3
2011,"Out",57.38
2008,"Out",17.27
2013,"Out",0
2010,"Out",59.4
2011,"Out",53.41
2010,"In",100.28
2014,"In",29.8
2012,"Out",63.78
2014,"In",73
2013,"In",16
2012,"Out",64.57
2009,"In",33.75
2014,"In",73.5
2011,"Out",33
2014,"In",71.91
2012,"In",44.56
2014,"In",20.7
2012,"In",26.38
2009,"Out",100
2004,"Out",42.9
2011,"In",30.61
2013,"In",56
2013,"In",65.34
2007,"In",19.2
2012,"In",94.48
2008,"Out",41.29
2011,"In",66
2011,"In",80.52
2014,"In",95
2014,"In",22
2011,"In",59.5
2009,"In",26.44
2010,"In",45.12
2013,"In",57.34
2009,"In",33
2012,"In",22.4
2011,"Out",54.15
2014,"In",121.39
2012,"In",12
2012,"In",13.5
2006,"Out",39.84
2012,"Out",37.6
2010,"Out",28.83
2011,"In",121.24
2009,"Out",22.26
2011,"Out",9.52
2012,"In",23.1
2011,"In",15
2004,"Out",14.18
2010,"Out",9.9
2013,"In",85.7
2013,"In",48.45
2014,"In",26.64
2014,"In",66.42
2014,"In",120.62
2012,"Out",53.58
2012,"In",47.12
2010,"In",13.3
2013,"In",72.09
2011,"In",0
2013,"In",76.6
2014,"In",68.34
2008,"In",26.4
2014,"In",28.8
2012,"Out",21.75
2013,"Out",177.66
2012,"In",57.67
2010,"In",0
2012,"In",91.36
2010,"In",14.82
2013,"In",61.64
2014,"In",74.21
2010,"Out",33
2014,"In",12
2010,"In",82.51
2011,"Out",80.1
2011,"In",29.7
2012,"Out",41.1
2012,"In",42.9
2010,"Out",31.42
2012,"In",74
2011,"In",29
2012,"Out",55.8
2012,"In",75
2013,"Out",73
2005,"In",64
2014,"In",57.75
2009,"In",26.58
2010,"In",207.55
2014,"In",99.48
2010,"In",40.32
2014,"In",94.13
2014,"Out",98.23
2014,"In",98.23
2014,"In",76.87
2003,"Out",165
2012,"In",63.34
2014,"In",357
2014,"In",60.28
2011,"In",36.32
2013,"Out",42.03
2014,"In",67
2013,"In",48.92
2014,"In",6.6
2013,"Out",218.71
2014,"In",0
2013,"Out",150
2013,"In",150
2013,"In",83.46
2014,"Out",59.33
2012,"In",40.5
2014,"In",20
2010,"In",34.56
2014,"In",109.25
2010,"Out",88.3
2013,"Out",33
2013,"In",124.18
2014,"In",79.98
2014,"In",50.4
2012,"In",36.79
2011,"In",54.08
2013,"In",27.9
NA,NA,NA
2011,"Out",10.5
2010,"In",51.26
2013,"In",41.55
2008,"Out",36.45
2011,"Out",35.12
2011,"In",7.52
2013,"In",17.84
2011,"In",166.6
2013,"In",44.99
2014,"Out",26.12
2011,"Out",46.61
2008,"In",14.45
2014,"In",26.44
2012,"Out",0
2013,"In",3.34
2013,"Out",30.4
2011,"In",81.79
2008,"In",62.7
2013,"In",1.62
2011,"In",3.3
2011,"In",1.11
2006,"Out",148.82
2010,"Out",33
2013,"In",42.6
2013,"In",3.3
2013,"In",6
2014,"In",9.9
2010,"In",44
2010,"Out",140.18
2014,"In",62
2010,"In",59.4
2012,"In",130.5
2009,"Out",46.44
2009,"Out",28.1
2013,"In",58.3
2010,"In",23.7
2014,"In",81.29
2011,"Out",31.2
2013,"In",55.25
2011,"In",44.82
2009,"In",99.1
2012,"In",138.6
2014,"In",36.3
2010,"Out",79.2
2012,"In",64.59
2010,"In",6.6
2011,"In",52.8
2010,"In",34.19
2011,"Out",16
2014,"In",41.34
2009,"In",47.62
2012,"In",30
2014,"In",122.2
2014,"In",77.03
2014,"In",310.4
2014,"In",29.72
2013,"In",96
2013,"In",25
2014,"In",42.97
2014,"In",86.88
2011,"In",36
2012,"In",78.4
2009,"In",40.69
2012,"In",5.1
2014,"In",18.82
2009,"Out",33
2014,"In",71.78
2012,"In",21.67
2013,"In",97.7
2013,"In",13.72
2010,"In",7.64
2012,"In",44.18
2011,"Out",30.69
2004,"Out",132
2004,"In",10.2
2013,"In",91.3
2013,"In",29.64
2014,"Out",39
2013,"Out",55.98
